Dataset,FRN107D
start_conditions
reactor_volume/ uL,411.0,
temperature/ oC,40.0,
flow_profile_time/ s,0.0,4200.0,
Residence time/ s,120.0,120.0,
O=C(CO)CO/ M,0.4,
[OH-]/ M,0.12,
C=O/ M,0.8,
O/ M,0.0,
O=C(CO)CO_flow_rate/ µl/h,1541.25,1541.25,
[OH-]_flow_rate/ µl/h,3082.5,3082.5,
CaCl2_flow_rate/ µl/h,3082.5,3082.5,
C=O_flow_rate/ µl/h,3082.5,3082.5,
O_flow_rate/ µl/h,1541.25,1541.25,
end_conditions
start_analysis_details
Calibrations_bounds_date,2019_02_18,
Chromatography_method,GCMS,Method 5,
Derivatisation_method,75 uL EtONH2.HCl; 30 mins @ 70 oC; 25 uL N,
end_analysis_details
start_data
sample number/ n,OC[C@@H](O)[C@H](O)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C(CO)[C@](O)(CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,
16.0,0.003056637,0.026263926,0.001892551,0.000794457,0.001923593,0.000132142,0.002864397,0.004458623,0.005366184,0.006735994,7.92e-06,0.001234649,7.93e-05,0.000264103,0.001953504,0.000830624,0.0,0.000524377,0.000813869,1.93e-05,0.000159575,2.14e-06,0.001957263,
17.0,0.003026733,0.026228554,0.002002809,0.000788666,0.001905669,0.000130095,0.002815201,0.004437511,0.00534059,0.00666934,7.16e-06,0.001232925,7.8e-05,0.000141778,0.001967293,0.000825057,2.24e-05,0.000511633,0.000828259,3.43e-05,7.26e-05,0.0,0.00202719,
18.0,0.002943378,0.026019775,0.001933001,0.000788108,0.001866909,0.000122148,0.002750196,0.004324565,0.005441363,0.00674609,1.2e-05,0.00117617,7.65e-05,0.000278181,0.00196957,0.000838862,0.0,0.000550882,0.000352166,1.76e-05,0.000151979,0.0,0.002035308,
19.0,0.003011164,0.025721516,0.001992298,0.000777504,0.00176739,0.000127985,0.002660288,0.004356224,0.004779642,0.006662003,5.99e-06,0.001112347,4.11e-05,0.00026853,0.001986252,0.000817783,0.0,0.000480834,0.000852138,2.32e-06,0.000172277,0.0,0.002180956,
20.0,0.002924444,0.025580367,0.001860355,0.000758271,0.001882444,0.000123205,0.002855931,0.004334643,0.005335889,0.006785548,3.35e-05,0.001079511,6.72e-05,0.000252614,0.002066034,0.00075263,0.0,0.000508622,0.000818315,8.28e-06,6.63e-05,0.0,0.001830818,
end_data
start_errors
sample number/ n,OC[C@@H](O)[C@H](O)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C(CO)[C@](O)(CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
